TransactionID,PropertyID,CustomerID,AgentID,DateID,TransactionType,SalePrice,MonthlyRent,Commission,DaysOnMarket
T00001,P346,C0923,A035,20260426,Sale,25282964,,505659.28,54
T00002,P066,C0276,A041,20250820,Sale,8575071,,171501.42,95
T00003,P288,C0069,A021,20261203,Sale,29231346,,584626.92,176
T00004,P167,C0727,A050,20250521,Sale,9366076,,187321.52,99
T00005,P444,C0139,A013,20260502,Rent,,22382,5371.68,21
T00006,P018,C0498,A008,20261010,Sale,4972302,,99446.04,82
T00007,P475,C0359,A024,20251016,Rent,,48191,11565.84,175
T00008,P209,C0224,A036,20261110,Rent,,132974,31913.76,38
T00009,P344,C0379,A019,20260521,Sale,22766111,,455322.22,44
T00010,P050,C0989,A003,20250714,Rent,,22126,5310.24,137
T00011,P469,C0134,A004,20250813,Rent,,132011,31682.64,164
T00012,P045,C0547,A033,20260603,Rent,,89271,21425.04,19
T00013,P043,C0218,A006,20250825,Rent,,80853,19404.72,76
T00014,P176,C0140,A049,20250427,Rent,,93063,22335.12,54
T00015,P293,C0901,A001,20260203,Sale,23598117,,471962.34,86
T00016,P051,C0627,A032,20250608,Rent,,97892,23494.08,118
T00017,P014,C0744,A034,20250404,Rent,,121775,29226,159
T00018,P181,C0965,A012,20260213,Rent,,90836,21800.64,7
T00019,P049,C0827,A031,20261019,Sale,24640901,,492818.02,10
T00020,P387,C0819,A043,20250927,Rent,,38278,9186.72,140
T00021,P146,C0865,A009,20261013,Sale,11423233,,228464.66,88
T00022,P499,C0129,A041,20260726,Rent,,60116,14427.84,80
T00023,P130,C0501,A033,20250523,Rent,,116808,28033.92,91
T00024,P230,C0244,A043,20251127,Rent,,88368,21208.32,16
T00025,P056,C0905,A014,20260825,Rent,,50075,12018,37
T00026,P490,C0853,A028,20260527,Rent,,104537,25088.88,57
T00027,P494,C0167,A024,20250709,Sale,23949979,,478999.58,22
T00028,P309,C0505,A011,20260515,Sale,10478938,,209578.76,170
T00029,P495,C0603,A049,20250405,Rent,,31044,7450.56,178
T00030,P162,C0841,A048,20250405,Sale,13528588,,270571.76,151
T00031,P439,C0290,A009,20250123,Rent,,147456,35389.44,126
T00032,P410,C0246,A005,20251217,Sale,26755815,,535116.3,149
T00033,P278,C0832,A029,20250331,Sale,25584281,,511685.62,32
T00034,P402,C0713,A048,20261015,Sale,5966175,,119323.5,131
T00035,P408,C0917,A027,20250323,Sale,18440789,,368815.78,53
T00036,P392,C0767,A039,20250211,Rent,,72464,17391.36,57
T00037,P048,C0135,A007,20260530,Rent,,66339,15921.36,67
T00038,P492,C0814,A020,20260714,Rent,,119208,28609.92,144
T00039,P499,C0929,A013,20250217,Sale,16263151,,325263.02,133
T00040,P371,C0398,A041,20260923,Sale,23851772,,477035.44,84
T00041,P163,C0364,A029,20251025,Rent,,37828,9078.72,46
T00042,P152,C0429,A046,20250109,Rent,,80031,19207.44,130
T00043,P319,C0979,A045,20250920,Rent,,140742,33778.08,143
T00044,P248,C0437,A012,20260611,Rent,,30696,7367.04,134
T00045,P410,C0626,A018,20261031,Rent,,131606,31585.44,31
T00046,P406,C0020,A025,20250131,Sale,18652918,,373058.36,118
T00047,P311,C0568,A021,20250917,Sale,20368710,,407374.2,11
T00048,P033,C0460,A035,20250710,Rent,,93423,22421.52,16
T00049,P191,C0698,A047,20261025,Rent,,121988,29277.12,168
